아파트명,소재지도로명주소,소재지지번주소,위도,경도,층수,관리사무소전화번호,팩스번호,세대수,사업승인일,사용검사일,데이터기준일자
벽산·현대,경기도 수원시 장안구 정자천로188번길 64,경기도 수원시 장안구 정자동 886-1,37.29318573,126.9962361,15~24,031-269-2297,031-269-2298,792,1996-11-23,1999-08-03,2022-07-05
원천주공1단지,경기도 수원시 영통구 매영로 132,경기도 수원시 영통구 매탄동 1230-4,37.26658339,127.0565971,18~20,031-216-2488,031-216-2489,702,1995-12-20,1999-08-10,2022-07-05
꽃뫼노을마을 장안,경기도 수원시 장안구 덕영대로639번길 70,경기도 수원시 장안구 정자동 900-1,37.29092818,126.9900448,16~20,031-269-8407,031-269-8409,188,1996-11-16,1999-08-17,2022-07-05
백설마을 현대.코오롱,경기도 수원시 장안구 만석로68번길 10,경기도 수원시 장안구 정자동 870-9,37.29674446,126.9889194,16~20,031-269-0401,031-306-0403,692,1996-11-30,1999-08-27,2022-07-05
두견마을 영남.우방.한솔,경기도 수원시 장안구 수성로245번길 21,경기도 수원시 장안구 정자동 887-1,37.28974896,126.9987696,16~22,031-269-0030,031-269-0567,1335,1991-01-08,1999-08-30,2022-07-05
원천주공2단지,경기도 수원시 영통구 중부대로448번길 28,경기도 수원시 영통구 원천동 551,37.26713882,127.058579,20,031-213-8262,031-213-8264,1835,1995-12-20,1999-09-12,2022-07-05
꽃뫼노을마을 풍림,경기도 수원시 팔달구 수성로157번길 75,경기도 수원시 팔달구 화서동 674-1,37.28937296,126.9877365,20,031-269-3663,031-8001-3663,275,1997-06-01,1999-09-17,2022-07-05
극동.풍림,경기도 수원시 영통구 봉영로1517번길 30,경기도 수원시 영통구 영통동 967-2,37.25026714,127.0675699,17~20,031-205-5010,031-205-5052,776,1996-10-29,1999-09-30,2022-07-05
꽃뫼노을마을 신안,경기도 수원시 장안구 대평로51번길 22,경기도 수원시 장안구 정자동 883-6,37.29307795,126.9937481,17~20,031-269-5021,031-269-5022,358,1997-01-29,1999-10-01,2022-07-05
성지.동양고속,경기도 수원시 장안구 정자천로133번길 26,경기도 수원시 장안구 정자동 879-8,37.29513422,126.9911147,17~20,031-269-6901,031-269-6902,576,1996-11-22,1999-10-21,2022-07-05
탑동우방파크타운,경기도 수원시 권선구 효탑로 50,경기도 수원시 권선구 탑동 860,37.26824476,126.973548,8~13,031-295-6829,031-296-6828,458,1997-08-11,1999-10-29,2022-07-05
성원,경기도 수원시 권선구 일월천로4번길 74,경기도 수원시 권선구 구운동 893,37.28356373,126.9757376,9~18,031-298-7007,031-298-7030,458,1996-11-22,1999-10-29,2022-07-05
꽃뫼버들마을 신동아,경기도 수원시 팔달구 화산로 24,경기도 수원시 팔달구 화서동 684-2,37.28735315,126.9865626,22~25,031-298-5758,031-307-0094,332,1996-01-05,1999-10-30,2022-07-05
코오롱하늘채,경기도 수원시 권선구 일월천로16번길 39,경기도 수원시 권선구 구운동 890,37.28521808,126.9750805,16~21,031-292-6284,031-292-6285,676,1996-11-22,1999-11-01,2022-07-05
연꽃마을 풍림,경기도 수원시 장안구 정자천로189번길 47,경기도 수원시 장안구 정자동 872-1,37.29842976,126.9923568,16~21,031-269-0611,031-269-0612,792,1996-12-09,1999-11-02,2022-07-05
벽적골주공9단지,경기도 수원시 영통구 봉영로1517번길 27,경기도 수원시 영통구 영통동 970-4,37.24813812,127.0671583,20,031-202-4147,031-202-4149,1265,1997-03-31,1999-11-10,2022-07-05
백설마을 삼환.나우빌,경기도 수원시 장안구 천천로22번길 34,경기도 수원시 장안구 정자동 880-3,37.29423783,126.9895157,17~23,031-269-8001,031-269-8002,772,1996-11-30,1999-11-25,2022-07-05
평동동남,경기도 수원시 권선구 권선로436번길 21,경기도 수원시 권선구 평동 151,37.26221759,127.0000512,11~13,031-295-8950,031-291-8950,489,1997-11-19,1999-11-27,2022-07-05
대한대우,경기도 수원시 팔달구 권선로 477,경기도 수원시 팔달구 매산로2가 90-5,37.26457142,127.0033544,12,031-309-9983,031-309-9982,1293,1997-10-02,1999-12-14,2022-07-05
신원미주,경기도 수원시 영통구 매영로310번길 27,경기도 수원시 영통구 영통동 965-2,37.25230679,127.0662168,17~20,031-204-7665,031-205-7665,574,1996-11-19,1999-12-30,2022-07-05
백설마을 효성,경기도 수원시 장안구 정자천로133번길 21,경기도 수원시 장안구 정자동 880-2,37.29364901,126.9907461,23,031-269-5495,031-269-5496,262,1996-11-30,2000-01-21,2022-07-05
고색거산,경기도 수원시 권선구 고현로5번길 25,경기도 수원시 권선구 고색동 306-1,37.24786927,126.9860796,15~16,031-297-7225,031-295-7225,323,1995-11-01,2000-05-10,2022-07-05
상우,경기도 수원시 권선구 매송고색로 751-17,경기도 수원시 권선구 고색동 5-4,37.25347681,126.985929,6~13,031-298-6116,031-227-7488,199,1996-05-18,2000-05-13,2022-07-05
우남1차,경기도 수원시 권선구 덕영대로1323번길 25-33,경기도 수원시 권선구 권선동 1315,37.2476202,127.0340391,13,031-226-2096,031-226-2095,290,1998-06-25,2000-06-07,2022-07-05
연꽃마을 벽산,경기도 수원시 장안구 정자천로189번길 40,경기도 수원시 장안구 정자동 873-3,37.29814023,126.9952981,16~25,031-268-0497,031-305-0497,392,1997-05-13,2000-06-29,2022-07-05
망포늘푸른벽산,경기도 수원시 영통구 영통로90번길 4-27,경기도 수원시 영통구 망포동 677-77,37.23894395,127.0604579,17~20,031-206-5022,031-206-5023,1380,1997-06-30,2000-06-30,2022-07-05
건영2차,경기도 수원시 영통구 매영로 346,경기도 수원시 영통구 영통동 966-4,37.25149899,127.0702935,17,031-204-8247,031-205-8248,470,2000-07-20,2000-07-20,2022-07-05
권선대우,경기도 수원시 권선구 동탄원천로813번길 16,경기도 수원시 권선구 권선동 1305,37.24853085,127.0388384,14~15,031-221-5665,031-222-7753,358,1998-07-31,2000-07-25,2022-07-05
꽃뫼노을마을 대동,경기도 수원시 장안구 대평로39번길 8,경기도 수원시 장안구 정자동 888-3,37.29202376,126.9941873,16~23,031-268-0090,031-308-0099,292,1996-11-26,2000-07-26,2022-07-05
우남2차,경기도 수원시 권선구 덕영대로1323번길 26-7,경기도 수원시 권선구 권선동 1320,37.24744578,127.0366836,15,031-233-2386,031-233-2387,179,1998-09-25,2000-08-09,2022-07-05
두견마을 3차 벽산,경기도 수원시 장안구 정자천로188번길 28,경기도 수원시 장안구 정자동 884-5,37.29497112,126.9955839,25,031-268-0121,031-306-0121,389,1996-11-22,2000-08-16,2022-07-05
권선3지구현대,경기도 수원시 권선구 세권로316번길 49,경기도 수원시 권선구 권선동 1306,37.24936098,127.0374412,12~15,031-221-7877,031-221-7992,253,1998-09-24,2000-09-22,2022-07-05
오목천청구1차,경기도 수원시 권선구 오목천로39번길 8,경기도 수원시 권선구 오목천동 542,37.24063524,126.9673533,15~18,031-298-0021,031-302-0022,314,1997-03-29,2000-10-15,2022-07-05
꽃뫼노을마을 한마루,경기도 수원시 장안구 덕영대로639번길 63,경기도 수원시 장안구 정자동 881-4,37.29108457,126.9887069,21~25,031-268-0336,031-268-6330,291,1997-10-11,2000-10-26,2022-07-05
삼성,경기도 수원시 권선구 곡선로50번길 73,경기도 수원시 권선구 곡반정동 580,37.23528389,127.0282254,13~15,031-308-3462,031-308-3461,442,1998-10-27,2000-10-27,2022-07-05
한솔,경기도 수원시 권선구 동수원로58번길 21,경기도 수원시 권선구 곡반정동 579,37.23579054,127.0267427,9~15,031-234-4371,031-236-4317,391,1998-06-11,2000-11-17,2022-07-05
꽃뫼노을마을 한국,경기도 수원시 장안구 대평로51번길 56,경기도 수원시 장안구 정자동 882-5,37.29224942,126.9917689,16~23,031-268-0009,031-268-2164,530,1997-02-19,2000-12-15,2022-07-05
일월청구,경기도 수원시 권선구 수성로35번길 60,경기도 수원시 권선구 구운동 889,37.28565768,126.976748,12~23,031-227-5004,031-304-5003,524,1996-11-22,2001-03-12,2022-07-05
대림,경기도 수원시 권선구 덕영대로1323번길 26-31,경기도 수원시 권선구 권선동 1321,37.24716651,127.0379504,14~15,031-222-7546,031-222-7534,322,1999-01-29,2001-03-29,2022-07-05
권선3지구 주공1단지,경기도 수원시 권선구 덕영대로1323번길 25-30,경기도 수원시 권선구 권선동 1314-1,37.24810467,127.033795,12~14,031-306-9090,031-306-9091,397,1990-09-30,2001-05-03,2022-07-05
엘지,경기도 수원시 팔달구 정자천로32번길 20,경기도 수원시 팔달구 화서동 713,37.28814171,126.9799879,15,031-298-4276,031-304-4276,665,1996-04-12,2001-05-12,2022-07-05
비단마을 영풍마드레빌,경기도 수원시 장안구 덕영대로535번길 67,경기도 수원시 장안구 천천동 537,37.29807923,126.9832693,12~15,031-268-0303,031-304-0303,212,1999-05-25,2001-05-25,2022-07-05
 CJ,경기도 수원시 팔달구 경수대로565번길 26,경기도 수원시 팔달구 인계동 209-7,37.27665537,127.028698,15,031-237-3833,031-237-3834,211,1999-06-10,2001-05-29,2022-07-05
권선5단지 상록,경기도 수원시 권선구 세권로304번길 47,경기도 수원시 권선구 권선동 1298,37.2498925,127.0363279,12~15,031-226-8234,031-304-8234,256,1999-05-04,2001-06-15,2022-07-05
꽃뫼양지마을 대우,경기도 수원시 팔달구 수성로101번길 20,경기도 수원시 팔달구 화서동 703,37.28482111,126.9848459,15,031-298-2021,031-305-2024,236,1999-06-04,2001-06-26,2022-07-05
청솔마을 한라,경기도 수원시 장안구 만석로20번길 28,경기도 수원시 장안구 정자동 921,37.29385892,126.9844114,18~23,031-268-2214,031-268-2215,845,1999-01-29,2001-07-30,2022-07-05
백설주공1단지,경기도 수원시 장안구 대평로89번길 32,경기도 수원시 장안구 정자동 871-4,37.29584767,126.9911508,18~24,031-268-3081,031-268-3082,348,1998-06-19,2001-08-06,2022-07-05
권선3지구 주공3단지,경기도 수원시 권선구 세권로 334,경기도 수원시 권선구 권선동 1304,37.25055638,127.0402423,15~19,031-237-9081,031-237-9082,582,1998-09-30,2001-08-10,2022-07-05
권선3단지 상록,경기도 수원시 권선구 세권로316번길 15,경기도 수원시 권선구 권선동 1303,37.25065029,127.0379953,15~20,031-238-5384,031-302-5384,468,2001-06-15,2001-09-17,2022-07-05
권선3지구 써미트빌,경기도 수원시 권선구 덕영대로1323번길 26-24,경기도 수원시 권선구 권선동 1323,37.24657759,127.0371014,12~15,031-235-7291,031-235-7286,223,1999-07-26,2001-09-19,2022-07-05
영통삼성래미안,경기도 수원시 영통구 청명북로 33,경기도 수원시 영통구 영통동 1046-1,37.25445697,127.0800375,20,031-273-6047,031-273-6049,714,1997-10-15,2001-10-30,2022-07-05
대월마을 대림진흥,경기도 수원시 장안구 천천로74번길 92,경기도 수원시 장안구 정자동 914,37.30062444,126.9882053,20~24,031-268-4685,031-268-4686,534,1999-06-14,2001-11-09,2022-07-05
비단마을 베스트타운,경기도 수원시 장안구 정자로42번길 52,경기도 수원시 장안구 천천동 536,37.29877142,126.981574,15~25,031-268-2024,031-304-2024,1032,1999-05-25,2001-11-22,2022-07-05
비단마을 신명,경기도 수원시 장안구 정자로41번길 12,경기도 수원시 장안구 천천동 482-2,37.30115977,126.9819739,16~24,031-268-5031,031-268-5030,594,1999-05-19,2001-11-22,2022-07-05
조원주공뉴타운1단지,경기도 수원시 장안구 금당로39번길 33,경기도 수원시 장안구 조원동 856,37.30451968,127.0151755,20~23,031-258-9082,031-258-9083,768,1999-04-26,2001-11-30,2022-07-05
화서성원상떼빌,경기도 수원시 팔달구 장안로5번길 45,경기도 수원시 팔달구 화서동 11-11,37.28560598,127.0049231,17,031-302-5577,031-268-5577,508,1997-09-09,2001-12-04,2022-07-05
동수원자이1차,경기도 수원시 영통구 태장로82번길 32,경기도 수원시 영통구 망포동 688-3,37.23629436,127.0528784,23,031-273-0764,031-273-0766,1829,1999-06-24,2001-12-05,2022-07-05
조원주공뉴타운2단지,경기도 수원시 장안구 금당로39번길 34,경기도 수원시 장안구 조원동 862,37.30439047,127.0178064,18~23,031-258-9071,031-258-9074,1586,1996-12-24,2001-12-19,2022-07-05
매탄주공그린빌1단지,경기도 수원시 영통구 매탄로126번길 22,경기도 수원시 영통구 매탄동 1316,37.26143029,127.0451613,13~18,031-215-0178,031-308-0178,659,1999-10-15,2001-12-20,2022-07-05
매탄주공그린빌2단지,경기도 수원시 영통구 매탄로126번길 66,경기도 수원시 영통구 매탄동 1317,37.26086491,127.0478536,18,031-217-9083,031-217-9084,568,1999-06-30,2001-12-20,2022-07-05
꽃뫼버들마을 진흥,경기도 수원시 팔달구 화산로 57,경기도 수원시 팔달구 화서동 706,37.29004452,126.983488,16~25,031-298-6885,031-298-6886,824,1999-09-10,2002-01-17,2022-07-05
청솔마을 SK한화,경기도 수원시 장안구 만석로20번길 25,경기도 수원시 장안구 정자동 918-2,37.2953338,126.9848683,16~25,031-268-4436,031-268-4437,520,1999-05-25,2002-01-21,2022-07-05
우남퍼스트빌,경기도 수원시 영통구 매탄로 82,경기도 수원시 영통구 매탄동 1335,37.25833791,127.0430012,16~18,031-216-2244,031-216-3117,456,2000-02-17,2002-01-29,2022-07-05
비단마을 현대성우우방,경기도 수원시 장안구 만석로 29,경기도 수원시 장안구 천천동 531-2,37.29618273,126.9853546,16~23,031-268-6068,031-268-6069,501,1999-07-01,2002-02-22,2022-07-05
꽃뫼버들마을 코오롱,경기도 수원시 팔달구 일월로18번길 4-26,경기도 수원시 팔달구 화서동 730,37.28477479,126.9815658,24,031-307-0033,031-307-0032,538,1999-05-12,2002-03-11,2022-07-05
영통롯데,경기도 수원시 영통구 덕영대로1555번길 20,경기도 수원시 영통구 영통동 971-2,37.24668949,127.0622463,20,031-273-5936,031-273-7868,1040,1996-12-31,2002-03-30,2022-07-05
꽃뫼버들마을 금강,경기도 수원시 팔달구 정자천로32번길 27,경기도 수원시 팔달구 화서동 709,37.28846452,126.9826268,16~25,031-227-4811,031-227-4812,312,1999-11-19,2002-04-19,2022-07-05
곡반정 현대아이파크,경기도 수원시 권선구 곡선로50번길 48,경기도 수원시 권선구 곡반정동 578,37.23714843,127.028588,10~15,031-231-8823,031-231-8824,484,2002-04-01,2002-04-25,2022-07-05
천천삼성래미안,경기도 수원시 장안구 화산로187번길 19,경기도 수원시 장안구 천천동 544,37.29798241,126.9757409,23,031-306-3050,031-306-3051,876,2000-02-21,2002-04-26,2022-07-05
동수원쌍용스윗닷홈1차,경기도 수원시 영통구 영통로173번길 37,경기도 수원시 영통구 망포동 692-2,37.24325447,127.0533113,12~24,031-273-6831,031-273-6830,531,1999-10-21,2002-04-27,2022-07-05
매탄주공그린빌3단지,경기도 수원시 영통구 동탄원천로915번길 36,경기도 수원시 영통구 매탄동 1338,37.25697937,127.0438285,16~20,031-217-4128,031-217-4129,656,1999-10-18,2002-04-30,2022-07-05
매탄주공그린빌4단지,"경기도 수원시 영통구 동탄원천로915번길 33(매탄동, 주공그린빌)",경기도 수원시 영통구 매탄동 1280 주공그린빌,127.0437145,37.25558529,20,031-217-8017,031-217-8018,461,1999-11-12,2002-05-07,2022-07-05
매탄주공그린빌5단지,"경기도 수원시 영통구 동탄원천로881번길 35(매탄동, 주공그린빌)",경기도 수원시 영통구 매탄동 1282 주공그린빌,127.0410871,37.25491819,18,031-217-9166,031-217-9167,732,1998-12-26,2002-05-07,2022-07-05
망포마을 현대1차아이파크,"경기도 수원시 영통구 영통로200번길 20(망포동, 망포마을 현대1차 아이파크)",경기도 수원시 영통구 망포동 693 망포마을 현대1차 아이파크,127.0569336,37.24392693,10~19,031-202-9103,031-202-9104,554,1999-11-10,2002-06-28,2022-07-05
꽃뫼양지마을 현대,"경기도 수원시 팔달구 화산로17번길 6(화서동, 꽃뫼양지마을 현대아파트)",경기도 수원시 팔달구 화서동 700 꽃뫼양지마을 현대아파트,126.9853086,37.28714572,21~23,031-227-6117,031-227-6118,260,1999-09-10,2002-07-12,2022-07-05
동수원자이2차,"경기도 수원시 영통구 태장로71번길 19(망포동, 동수원 자이2차 아파트)",경기도 수원시 영통구 망포동 690 동수원 자이2차 아파트,127.0525695,37.24057876,16~25,031-205-1083,031-205-9083,816,1999-06-28,2002-07-24,2022-07-05
망포마을 벽산e빌리지,"경기도 수원시 영통구 동탄지성로488번길 22(망포동, 망포마을 벽산 이빌리지)",경기도 수원시 영통구 망포동 696 망포마을 벽산 이빌리지,127.0471403,37.23680161,16,031-205-0291,031-205-0292,344,2000-05-24,2002-07-25,2022-07-05
청솔마을 주공6단지,"경기도 수원시 장안구 천천로21번길 33(정자동, 청솔마을주공아파트)",경기도 수원시 장안구 정자동 922 청솔마을주공아파트,126.9854722,37.29243807,16~25,031-268-9031,031-268-9032,583,2008-12-26,2002-09-14,2022-07-05
오목천청구2차,"경기도 수원시 권선구 매송고색로506번길 17(오목천동, 청구2차아파트)",경기도 수원시 권선구 오목천동 381 청구2차아파트,126.9616311,37.24357937,11~21,031-298-3386,031-298-3387,490,1997-06-27,2002-09-30,2022-07-05
영통3차 풍림아이원,"경기도 수원시 영통구 봉영로1482번길 18(영통동, 영통3차 풍림아이원아파트)",경기도 수원시 영통구 영통동 1093 영통3차 풍림아이원아파트,127.0662604,37.24454904,25,031-202-2622,031-205-2623,494,1999-12-22,2002-10-25,2022-07-05
대월마을 주공,"경기도 수원시 장안구 천천로74번길 35(정자동, 대월마을 주공아파트)",경기도 수원시 장안구 정자동 913 대월마을 주공아파트,126.9857666,37.30035695,20~25,031-242-9082,031-243-9082,805,1998-12-26,2002-10-25,2022-07-05
망포마을 현대2차아이파크,"경기도 수원시 영통구 태장로 45(망포동, 망포마을현대2차아이파크)",경기도 수원시 영통구 망포동 683 망포마을현대2차아이파크,127.0510158,37.24010763,25,031-203-5516,031-203-5517,489,1999-10-19,2002-10-31,2022-07-05
신성미소지움,"경기도 수원시 팔달구 중부대로 193(우만동, 신성미소지움아파트)",경기도 수원시 팔달구 우만동 138 신성미소지움아파트,127.0372434,37.27776144,25,031-212-2491,031-212-2492,272,1999-12-30,2002-12-18,2022-07-05
동수원자이3차,"경기도 수원시 영통구 영통로 111(망포동, 엘지동수원자이아파트)",경기도 수원시 영통구 망포동 698 엘지동수원자이아파트,127.0565148,37.23668691,20~25,031-202-1292,031-202-1354,924,1999-12-30,2003-06-27,2022-07-05
월드메르디앙,"경기도 수원시 팔달구 권광로 373 (우만동, 월드메르디앙 아파트)",경기도 수원시 팔달구 우만동 600 월드메르디앙 아파트,127.0344854,37.28055162,21~30,031-216-0550,031-216-0559,2063,2001-08-13,2004-06-14,2022-07-05
동수원쌍용스윗닷홈3차,"경기도 수원시 영통구 태장로7번길 38(망포동, 쌍용3차아파트)",경기도 수원시 영통구 망포동 700 쌍용3차아파트,127.0479339,37.23955883,8~15,031-202-2442,031-202-1344,287,2002-06-19,2004-09-24,2022-07-05
동수원쌍용스윗닷홈2차,"경기도 수원시 영통구 태장로54번길 122(망포동, 동수원2차 쌍용스윗닷홈)",경기도 수원시 영통구 망포동 702 동수원2차 쌍용스윗닷홈,127.0532215,37.23413314,15,031-202-6624,031-203-6624,274,2002-06-18,2004-11-29,2022-07-05
한라비발디2단지,"경기도 수원시 권선구 당진로31번길 16 (당수동, 한라비발디아파트 2단지)",경기도 수원시 권선구 당수동 742 한라비발디아파트 2단지,126.9390177,37.29291922,17~25,031-409-1991,031-409-1993,499,2002-07-13,2004-11-30,2022-07-05
한라비발디1단지,"경기도 수원시 권선구 당진로15번길 19-10(당수동, 한라비발디아파트 1단지)",경기도 수원시 권선구 당수동 743 한라비발디아파트 1단지,126.9387014,37.29042947,17~25,031-409-1881,031-409-1841,473,2002-07-13,2004-11-30,2022-07-05
교동풍림아이원,"경기도 수원시 팔달구 매산로104번길 10(교동, 풍림아이원아파트)",경기도 수원시 팔달구 교동 185-7 풍림아이원아파트,127.0122517,37.27016503,10,031-224-6033,031-224-7033,156,1994-03-31,2005-04-07,2022-07-05
금강에스쁘아,"경기도 수원시 장안구 영화로71번길 24(정자동, 수원정자금강에스쁘아아파트)",경기도 수원시 장안구 정자동 69-45 수원정자금강에스쁘아아파트,127.0052439,37.29265826,18,031-244-1360,031-244-1360,164,2002-12-16,2005-04-29,2022-07-05
율전벽산블루밍,"경기도 수원시 장안구 덕영대로407번길 63-27(율전동, 벽산블루밍아파트)",경기도 수원시 장안구 율전동 543 벽산블루밍아파트,126.966049,37.30429014,22,031-255-3477,031-255-3445,318,2002-05-02,2005-04-29,2022-07-05
밤꽃마을 뜨란채,"경기도 수원시 장안구 상률로 32(율전동, 밤꽃마을뜨란채)",경기도 수원시 장안구 율전동 546 밤꽃마을뜨란채,126.9685457,37.30609857,23,031-271-2152,031-271-2153,1078,1999-12-30,2005-09-13,2022-07-05
방죽마을 영통뜨란채,"경기도 수원시 영통구 영통로200번길 156(망포동, 방죽마을영통뜨란채)",경기도 수원시 영통구 망포동 707 방죽마을영통뜨란채,127.0654476,37.24260328,25,031-206-2242,031-206-2243,699,2001-09-06,2005-09-21,2022-07-05
서수원쌍용스윗닷홈1차,"경기도 수원시 권선구 당진로31번길 51-20(당수동, 서수원1차쌍용스윗닷홈)",경기도 수원시 권선구 당수동 745 서수원1차쌍용스윗닷홈,126.9364369,37.29204054,15,031-419-9498,031-509-9498,282,2003-06-18,2005-09-23,2022-07-05
우림필유,"경기도 수원시 권선구 고색로 8(고색동, 우림필유아파트)",경기도 수원시 권선구 고색동 915 우림필유,126.9782917,37.2477509,15,031-298-9266,031-298-9265,488,2003-08-19,2005-09-30,2022-07-05
율전이안,"경기도 수원시 장안구 율전로 73(율전동, 율전 이안 아파트)",경기도 수원시 장안구 율전동 375-2 율전 이안 아파트,126.9669693,37.29672109,15,031-297-6237,031-297-6238,383,2003-01-22,2005-10-10,2022-07-05
센트라우스,"경기도 수원시 권선구 세화로168번길 15(서둔동, 센트라우스)",경기도 수원시 권선구 서둔동 371 센트라우스,126.9950798,37.26810051,15,031-298-6695,031-298-6685,1094,2003-09-09,2005-11-24,2022-07-05
희훈루체팰리스,"경기도 수원시 장안구 경수대로994번길 46(송죽동, 희훈루체팰리스아파트)",경기도 수원시 장안구 송죽동 513 희훈루체팰리스아파트,127.0048059,37.30712677,15,031-247-8208,031-247-8209,176,2003-09-02,2005-12-07,2022-07-05
오목천동 푸르지오2단지,"경기도 수원시 권선구 서수원로183번길 2(오목천동, 오목천동 푸르지오 2단지)",경기도 수원시 권선구 오목천동 956 오목천동 푸르지오 2단지,126.9679969,37.24418565,14~15,031-297-4825,031-297-4826,413,2003-06-30,2006-01-23,2022-07-05
오목천동 푸르지오1단지,"경기도 수원시 권선구 서수원로 219(오목천동, 오목천동 푸르지오 1단지)",경기도 수원시 권선구 오목천동 951 오목천동 푸르지오 1단지,126.9671313,37.24604418,15,031-298-7414,031-298-7515,380,2003-06-30,2006-01-23,2022-07-05
수원로얄팰리스,"경기도 수원시 장안구 송정로 83(송죽동, 수원로얄팰리스)",경기도 수원시 장안구 송죽동 514 수원로얄팰리스,127.0071141,37.29607578,31,031-888-7222,031-888-7223,614,2003-05-14,2006-01-27,2022-07-05
현대힐스테이트,"경기도 수원시 영통구 권광로260번길 36(매탄동, 현대힐스테이트아파트)",경기도 수원시 영통구 매탄동 176 현대힐스테이트아파트,127.0397087,37.27116915,25,031-217-9502,031-217-9458,2328,2002-07-09,2006-02-28,2022-07-05
경남아너스빌,"경기도 수원시 장안구 만석로159번길 31(정자동, 경남아너스빌)",경기도 수원시 장안구 정자동 297-2 경남아너스빌,126.9967077,37.30214507,15,031-244-1155,031-244-1158,422,2003-05-13,2006-04-26,2022-07-05
한라녹턴,"경기도 수원시 권선구 세지로 35(세류동, 한라녹턴아파트)",경기도 수원시 권선구 세류동 1248 한라녹턴아파트,127.0154147,37.25540749,10,031-892-0001,031-892-8830,195,2004-02-16,2006-07-27,2022-07-05
영통아이파크,"경기도 수원시 영통구 삼성로320번길 62(영통동, 영통아이파크)",경기도 수원시 영통구 영통동 1153 영통아이파크,127.0712876,37.26616462,26~28,031-206-6552,031-206-6553,212,2004-04-27,2006-07-28,2022-07-05
마젤란21(2단지),"경기도 수원시 영통구 영통로154번길 116(망포동, 영통 마젤란21 아파트(2단지))",경기도 수원시 영통구 망포동 509-2 영통 마젤란21 아파트(2단지),127.0627018,37.24088202,15,031-203-5564,031-203-8166,159,2004-11-03,2006-11-29,2022-07-05
영조아름다운나날1단지,"경기도 수원시 권선구 서수원로 161-11(오목천동, 영조아름다운나날1단지)",경기도 수원시 권선구 오목천동 961 영조아름다운나날1단지,126.969095,37.2410122,14~15,031-298-5326,031-298-5327,178,2003-06-18,2006-12-15,2022-07-05
영조아름다운나날2단지,"경기도 수원시 권선구 서수원로 161-12(오목천동, 영조아름다운나날2단지)",경기도 수원시 권선구 오목천동 960 영조아름다운나날2단지,126.9687037,37.24191167,,031-298-5326,031-298-5327,194,2003-06-18,2006-12-15,2022-07-05
정자벽산블루밍,"경기도 수원시 장안구 파장로 53(정자동, 정자 벽산블루밍)",경기도 수원시 장안구 정자동 423-1 정자 벽산블루밍,126.9946287,37.30459109,9~15,031-893-6668,031-893-6669,481,2004-12-22,2007-04-12,2022-07-05
영통 이-편한세상,"경기도 수원시 영통구 영통로200번길 239 (영통동, 영통 이-편한세상)",경기도 수원시 영통구 영통동 987-1 영통 이-편한세상,127.0681588,37.24588916,13~15,031-202-1364,031-202-1365,230,2004-12-22,2007-08-03,2022-07-05
동수원신도브래뉴,"경기도 수원시 팔달구 중부대로183번길 27(우만동, 동수원신도브래뉴)",경기도 수원시 팔달구 우만동 606 동수원신도브래뉴,127.0365048,37.27846551,15,031-217-1448,031-217-1449,200,2005-07-18,2007-08-21,2022-07-05
남광하우스토리,"경기도 수원시 권선구 삼천병마로1598번길 28-16(오목천동, 남광하우스토리)",경기도 수원시 권선구 오목천동 962 남광하우스토리,126.965455,37.2450531,15,031-291-0378,031-291-0377,363,2004-07-02,2007-08-29,2022-07-05
정자 케이티 이-편한세상,"경기도 수원시 장안구 정자천로188번길 21(정자동, 정자 케이티 이-편한세상)",경기도 수원시 장안구 정자동 24-1 정자 케이티 이-편한세상,126.9977486,37.29601539,15,031-247-5676,031-247-5675,288,2005-03-25,2008-01-30,2022-07-05
매탄위브하늘채,"경기도 수원시 영통구 효원로 363(매탄동, 매탄 위브 하늘채)",경기도 수원시 영통구 매탄동 1352 매탄 위브 하늘채,127.0413921,37.26181148,18~30,031-216-9999,031-216-4646,3391,2004-12-31,2008-05-16,2022-07-05
대우월드마크,"경기도 수원시 영통구 봉영로 1620(영통동, 대우 월드마크 영통)",경기도 수원시 영통구 영통동 996-3 대우 월드마크 영통,127.0756026,37.25499047,36,031-206-1762,031-206-1764,208,2005-04-12,2008-06-09,2022-07-05
삼정라츠,"경기도 수원시 영통구 영통로90번길 4-22(망포동, 삼정라츠아파트)",경기도 수원시 영통구 망포동 717 삼정라츠아파트,127.0612038,37.23843296,20,031-202-0416,031-202-0418,185,2006-03-24,2008-09-01,2022-07-05
권선SKVIEW,"경기도 수원시 권선구 권선로694번길 26(권선동, 권선 SK VIEW)",경기도 수원시 권선구 권선동 1035 권선 SK VIEW,127.0259589,37.25796172,8~15,031-221-6262,031-221-6261,1018,2005-04-26,2008-11-06,2022-07-05
천천푸르지오,"경기도 수원시 장안구 화산로 85(천천동, 천천 푸르지오)",경기도 수원시 장안구 천천동 333 천천 푸르지오,126.9804372,37.29149462,10~30,031-278-3722,031-278-3725,2571,2005-04-03,2008-11-28,2022-07-05
화서위브하늘채,"경기도 수원시 팔달구 수성로244번길 25(화서동, 화서위브하늘채)",경기도 수원시 팔달구 화서동 743 화서위브하늘채,127.0005433,37.2883999,14~25,031-241-3641,031-241-3643,807,2005-05-17,2008-12-01,2022-07-05
